Domain,Unique Similar Site,fetched_at,title,category,category_rank,total_visits
boston.com,cnn.com,2024-02-12 09:35:24.141939,boston.com,News and Media100%,8M,8M
boston.com,nypost.com,2024-02-12 09:35:24.141939,boston.com,News and Media100%,8M,8M
boston.com,bostonglobe.com,2024-02-12 09:35:24.141939,boston.com,News and Media100%,8M,8M
bostonherald.com,nypost.com,2024-02-12 09:35:12.125640,bostonherald.com,News and Media100%,2M,2M
nypost.com,nytimes.com,2024-02-12 09:35:25.865994,nypost.com,News and Media100%,159M,159M
nypost.com,washingtonpost.com,2024-02-12 09:35:25.865994,nypost.com,News and Media100%,159M,159M
nypost.com,dailymail.co.uk,2024-02-12 09:35:25.865994,nypost.com,News and Media100%,159M,159M
nypost.com,sfgate.com,2024-02-12 09:35:25.865994,nypost.com,News and Media100%,159M,159M
nypost.com,latimes.com,2024-02-12 09:35:25.865994,nypost.com,News and Media100%,159M,159M
nypost.com,cbsnews.com,2024-02-12 09:35:25.865994,nypost.com,News and Media100%,159M,159M
nypost.com,cnn.com,2024-02-12 09:35:25.865994,nypost.com,News and Media100%,159M,159M
nypost.com,foxnews.com,2024-02-12 09:35:25.865994,nypost.com,News and Media100%,159M,159M
bostonherald.com,bostonglobe.com,2024-02-12 09:35:12.125640,bostonherald.com,News and Media100%,2M,2M
bostonglobe.com,nytimes.com,2024-02-12 09:35:27.406706,bostonglobe.com,News and Media100%,10M,10M
bostonglobe.com,theatlantic.com,2024-02-12 09:35:27.406706,bostonglobe.com,News and Media100%,10M,10M
bostonglobe.com,politico.com,2024-02-12 09:35:27.406706,bostonglobe.com,News and Media100%,10M,10M
bostonglobe.com,washingtonpost.com,2024-02-12 09:35:27.406706,bostonglobe.com,News and Media100%,10M,10M
bostonglobe.com,wsj.com,2024-02-12 09:35:27.406706,bostonglobe.com,News and Media100%,10M,10M
lowellsun.com,nashuatelegraph.com,2024-02-12 09:35:10.514719,lowellsun.com,News and Media100%,374K,374K
nashuatelegraph.com,unionleader.com,2024-02-12 09:35:29.154081,nashuatelegraph.com,News and Media100%,149K,149K
unionleader.com,fosters.com,2024-02-12 09:35:30.833125,unionleader.com,News and Media100%,668K,668K
unionleader.com,wmur.com,2024-02-12 09:35:30.833125,unionleader.com,News and Media100%,668K,668K
unionleader.com,concordmonitor.com,2024-02-12 09:35:30.833125,unionleader.com,News and Media100%,668K,668K
unionleader.com,seacoastonline.com,2024-02-12 09:35:30.833125,unionleader.com,News and Media100%,668K,668K
unionleader.com,eagletribune.com,2024-02-12 09:35:30.833125,unionleader.com,News and Media100%,668K,668K
unionleader.com,reuters.com,2024-02-12 09:35:30.833125,unionleader.com,News and Media100%,668K,668K
nashuatelegraph.com,yahoo.com,2024-02-12 09:35:29.154081,nashuatelegraph.com,News and Media100%,149K,149K
yahoo.com,nytimes.com,2024-02-12 09:35:32.405164,yahoo.com,News and Media100%,3B,3B
yahoo.com,bbc.com,2024-02-12 09:35:32.405164,yahoo.com,News and Media100%,3B,3B
yahoo.com,foxnews.com,2024-02-12 09:35:32.405164,yahoo.com,News and Media100%,3B,3B
yahoo.com,forbes.com,2024-02-12 09:35:32.405164,yahoo.com,News and Media100%,3B,3B
yahoo.com,dailymail.co.uk,2024-02-12 09:35:32.405164,yahoo.com,News and Media100%,3B,3B
yahoo.com,msn.com,2024-02-12 09:35:32.405164,yahoo.com,News and Media100%,3B,3B
